id,cluster_nr
Q270316,1
Q1253,1
Q19874690,1
Q5271548,1
Q80966,1
Q381543,1
Q359442,1
Q16204899,1
Q1758640,1
Q1391309,1
Q7199798,1
Q6198163,1
Q12569944,1
Q27947626,1
Q130798,1
Q553191,1
Q4759987,1
Q699565,1
Q2310157,1
Q7633839,1
Q7146267,1
Q16727534,1
Q26322384,1
Q55219988,1
Q713521,1
Q29871142,1
Q57641,1
Q20085770,1
Q258825,1
Q1282411,1
Q6238347,1
Q7154679,1
Q16212756,1
Q5344431,1
Q11779495,1
Q20638091,1
Q6698967,1
Q5241414,1
Q7672815,1
Q4451134,1
Q334072,1
Q76658,1
Q567,1
Q53121229,1
Q2663698,1
Q5753361,1
Q455854,1
Q5528273,1
Q312015,1
Q529090,1
Q5606664,1
Q450675,1
Q76,1
Q1428118,1
Q333487,1
Q7711574,1
Q688913,1
Q5217951,1
Q3210225,1
Q6182718,1
Q16731798,1
Q15436842,1
Q465041,1
Q4762415,1
Q3349343,1
Q6211995,1
Q737403,1
Q4695503,1
Q16222254,1
Q324546,1
Q265791,1
Q5112971,1
Q7747,1
Q5657910,1
Q3764667,1
Q22110208,1
Q6727040,1
Q18062098,1
Q5480967,1
Q201795,1
Q2760347,1
Q5983051,1
Q439729,1
Q16018531,1
Q6837234,1
Q591604,1
Q962394,1
Q4496,1
Q816502,1
Q46248,1
Q941751,1
Q63879,1
Q20027903,1
Q1058,1
Q57638,1
Q31013,1
Q7408188,1
Q5244721,1
Q7279360,1
Q1686485,1
Q10993,1
Q157,1
Q5237116,1
Q24313,1
Q18640074,1
Q10390,1
Q6140579,1
Q5066246,1
Q270546,1
Q16232328,1
Q16208337,1
Q312053,1
Q21402119,1
Q16211787,1
Q6774476,1
Q392,1
Q57665,1
Q3438181,1
Q731787,1
Q539444,1
Q314208,1
Q521145,1
Q7416576,1
Q304095,1
Q21040506,1
Q4911497,1
Q19786995,1
Q6294,1
Q4897458,1
Q7329702,1
Q332357,1
Q121507,1
Q5230165,1
Q313080,1
Q43723,1
Q5084966,1
Q1065216,1
Q310586,1
Q18631488,1
Q11702,1
Q3013143,1
Q273696,1
Q18763623,1
Q15126384,1
Q6272833,1
Q862315,1
Q266611,1
Q5239255,1
Q2439823,1
Q18913336,1
Q924283,1
Q16205965,1
Q6967617,1
Q170581,1
Q5134677,1
Q15440738,1
Q978467,1
Q1569513,1
Q6513139,1
Q7174380,1
Q715355,1
Q707157,1
Q7325348,1
Q1752858,1
Q463557,1
Q27656949,1
Q57163890,1
Q1435548,1
Q15257,1
Q7356377,1
Q1700634,1
Q22260,1
Q1066940,1
Q6288836,1
Q235555,1
Q221997,1
Q5048455,1
Q1441575,1
Q4768021,1
Q7489197,1
Q16189318,1
Q7045396,1
Q11673,1
Q887898,1
Q263725,1
Q311621,1
Q2036942,1
Q2420535,1
Q311900,1
Q41148,1
Q446481,1
Q5677199,1
Q173118,1
